reactor_id,timestamp,temperature,pressure,reaction_rate,cooling_efficiency,temp_rate_of_change,label,temp_rolling_avg,pressure_rolling_avg,temp_acceleration,pressure_temp_ratio,cooling_danger
A,25,118.97,3.58,0.58,0.87,-0.265,SAFE,118.4,3.55,0.023,0.0301,15.47
A,26,119.34,3.63,0.4,0.89,-0.258,SAFE,118.65,3.57,0.007,0.0304,13.13
A,27,119.6,3.66,0.41,0.89,0.03,SAFE,118.94,3.59,0.288,0.0306,13.16
A,28,119.37,3.69,0.48,0.85,0.024,SAFE,119.16,3.62,-0.006,0.0309,17.91
A,29,119.6,3.66,0.45,0.97,0.09,SAFE,119.38,3.64,0.066,0.0306,3.59
A,30,119.54,3.66,0.41,0.85,-0.097,SAFE,119.49,3.66,-0.187,0.0306,17.93
A,31,119.63,3.64,0.43,0.83,0.079,SAFE,119.55,3.66,0.176,0.0304,20.34
A,32,119.36,3.68,0.59,0.83,-0.157,SAFE,119.5,3.67,-0.236,0.0308,20.29
A,33,119.52,3.65,0.41,0.96,0.043,SAFE,119.53,3.66,0.2,0.0305,4.78
A,34,119.5,3.68,0.57,0.85,-0.242,SAFE,119.51,3.66,-0.285,0.0308,17.93
A,35,119.43,3.67,0.49,0.93,0.104,SAFE,119.49,3.66,0.346,0.0307,8.36
A,36,119.91,3.63,0.48,0.87,0.217,SAFE,119.54,3.66,0.113,0.0303,15.59
A,37,119.66,3.6,0.49,0.88,-0.133,SAFE,119.6,3.65,-0.35,0.0301,14.36
A,38,119.41,3.64,0.49,0.95,0.03,SAFE,119.58,3.64,0.163,0.0305,5.97
A,39,118.96,3.69,0.58,0.97,0.256,SAFE,119.47,3.65,0.226,0.031,3.57
A,40,119.31,3.66,0.5,0.85,-0.059,SAFE,119.45,3.64,-0.315,0.0307,17.9
A,41,118.87,3.65,0.62,0.86,0.17,SAFE,119.24,3.65,0.229,0.0307,16.64
A,42,118.82,3.64,0.61,0.97,0.033,SAFE,119.07,3.66,-0.137,0.0306,3.56
A,43,119.04,3.6,0.45,0.97,0.048,SAFE,119.0,3.65,0.015,0.0302,3.57
A,44,119.08,3.63,0.39,0.91,0.002,SAFE,119.02,3.64,-0.046,0.0305,10.72
A,45,119.44,3.59,0.61,0.83,-0.189,SAFE,119.05,3.62,-0.191,0.0301,20.3
A,46,119.53,3.61,0.44,0.84,0.234,SAFE,119.18,3.61,0.423,0.0302,19.12
A,47,119.28,3.62,0.53,0.88,0.05,SAFE,119.27,3.61,-0.184,0.0303,14.31
A,48,119.3,3.66,0.43,0.93,-0.157,SAFE,119.33,3.62,-0.207,0.0307,8.35
A,49,119.2,3.68,0.45,0.87,0.151,SAFE,119.35,3.63,0.308,0.0309,15.5
A,50,118.77,3.68,0.62,0.97,-0.256,SAFE,119.22,3.65,-0.407,0.031,3.56
A,51,118.48,3.65,0.6,0.95,0.228,SAFE,119.01,3.66,0.484,0.0308,5.92
A,52,118.35,3.62,0.58,0.93,0.067,SAFE,118.82,3.66,-0.161,0.0306,8.28
A,53,118.84,3.64,0.38,0.94,-0.12,SAFE,118.73,3.65,-0.187,0.0306,7.13
A,54,119.0,3.68,0.41,0.84,-0.236,SAFE,118.69,3.65,-0.116,0.0309,19.04
A,55,119.06,3.66,0.53,0.93,-0.178,SAFE,118.75,3.65,0.058,0.0307,8.33
A,56,119.19,3.63,0.5,0.96,0.208,SAFE,118.89,3.65,0.386,0.0305,4.77
A,57,118.78,3.63,0.45,0.82,0.163,SAFE,118.97,3.65,-0.045,0.0306,21.38
A,58,118.92,3.6,0.56,0.9,-0.043,SAFE,118.99,3.64,-0.206,0.0303,11.89
A,59,118.43,3.56,0.59,0.96,0.027,SAFE,118.88,3.62,0.07,0.0301,4.74
A,60,118.76,3.57,0.42,0.84,-0.115,SAFE,118.82,3.6,-0.142,0.0301,19.0
A,61,119.16,3.6,0.59,0.95,-0.174,SAFE,118.81,3.59,-0.059,0.0302,5.96
A,62,118.91,3.56,0.57,0.95,-0.056,SAFE,118.84,3.58,0.118,0.0299,5.95
A,63,119.03,3.52,0.6,0.95,0.286,SAFE,118.86,3.56,0.342,0.0296,5.95
A,64,119.34,3.56,0.39,0.93,-0.101,SAFE,119.04,3.56,-0.387,0.0298,8.35
A,65,119.77,3.59,0.59,0.94,-0.14,SAFE,119.24,3.57,-0.039,0.03,7.19
A,66,120.06,3.55,0.59,0.95,-0.167,SAFE,119.42,3.56,-0.027,0.0296,6.0
A,67,120.38,3.55,0.45,0.94,-0.163,SAFE,119.72,3.55,0.004,0.0295,7.22
A,68,119.9,3.52,0.46,0.95,0.28,SAFE,119.89,3.55,0.443,0.0294,6.0
A,69,119.68,3.53,0.48,0.97,0.022,SAFE,119.96,3.55,-0.258,0.0295,3.59
A,70,120.12,3.49,0.61,0.85,0.278,SAFE,120.03,3.53,0.256,0.0291,18.02
A,71,119.89,3.45,0.48,0.93,-0.112,SAFE,119.99,3.51,-0.39,0.0288,8.39
A,72,119.99,3.45,0.47,0.91,-0.147,SAFE,119.92,3.49,-0.035,0.0288,10.8
A,73,120.2,3.4,0.6,0.9,0.132,SAFE,119.98,3.46,0.279,0.0283,12.02
A,74,120.44,3.42,0.47,0.83,0.099,SAFE,120.13,3.44,-0.033,0.0284,20.47
A,75,120.27,3.4,0.58,0.93,-0.12,SAFE,120.16,3.42,-0.219,0.0283,8.42
A,76,120.08,3.39,0.48,0.86,-0.224,SAFE,120.2,3.41,-0.104,0.0282,16.81
A,77,120.0,3.44,0.54,0.96,0.069,SAFE,120.2,3.41,0.293,0.0287,4.8
A,78,119.8,3.44,0.38,0.86,-0.042,SAFE,120.12,3.42,-0.111,0.0287,16.77
A,79,119.88,3.46,0.49,0.89,-0.172,SAFE,120.01,3.43,-0.13,0.0289,13.19
A,80,137.65,4.73,0.6,0.77,0.555,WARNING,123.48,3.69,0.727,0.0344,31.66
A,81,138.9,4.81,0.76,0.77,1.528,WARNING,127.25,3.98,0.973,0.0346,31.95
A,82,139.54,4.88,0.64,0.76,0.337,WARNING,131.15,4.26,-1.191,0.035,33.49
A,83,141.11,4.94,0.73,0.76,0.922,WARNING,135.42,4.56,0.585,0.035,33.87
A,84,142.46,5.04,0.74,0.75,0.666,WARNING,139.93,4.88,-0.256,0.0354,35.62
A,85,143.88,5.17,0.68,0.75,0.46,WARNING,141.18,4.97,-0.206,0.0359,35.97
A,86,145.62,5.27,0.64,0.75,0.375,WARNING,142.52,5.06,-0.085,0.0362,36.4
A,87,146.61,5.4,0.82,0.74,1.301,WARNING,143.94,5.16,0.926,0.0368,38.12
A,88,148.33,5.54,0.75,0.73,1.219,WARNING,145.38,5.28,-0.082,0.0373,40.05
A,89,149.88,5.64,0.76,0.73,1.646,WARNING,146.86,5.4,0.427,0.0376,40.47
A,90,150.57,5.72,0.76,0.72,1.256,WARNING,148.2,5.51,-0.39,0.038,42.16
A,91,151.81,5.79,0.65,0.72,0.416,WARNING,149.44,5.62,-0.84,0.0381,42.51
A,92,152.58,5.9,0.64,0.71,0.508,WARNING,150.63,5.72,0.092,0.0387,44.25
A,93,153.94,5.96,0.71,0.71,0.911,WARNING,151.76,5.8,0.403,0.0387,44.64
A,94,154.55,6.05,0.72,0.7,1.657,WARNING,152.69,5.88,0.746,0.0391,46.37
A,95,156.14,6.17,0.58,0.69,0.871,WARNING,153.8,5.97,-0.786,0.0395,48.4
A,96,157.57,6.31,0.68,0.69,1.73,WARNING,154.96,6.08,0.859,0.04,48.85
A,97,158.69,6.42,0.63,0.68,0.631,WARNING,156.18,6.18,-1.099,0.0405,50.78
A,98,159.03,6.5,0.68,0.68,1.319,WARNING,157.2,6.29,0.688,0.0409,50.89
A,99,160.03,6.57,0.59,0.67,1.233,WARNING,158.29,6.39,-0.086,0.0411,52.81
A,100,161.18,6.62,0.61,0.67,1.264,WARNING,159.3,6.48,0.031,0.0411,53.19
A,101,161.56,6.71,0.66,0.66,0.617,WARNING,160.1,6.56,-0.647,0.0415,54.93
A,102,162.42,6.83,0.64,0.66,1.548,WARNING,160.84,6.65,0.931,0.0421,55.22
A,103,162.75,6.94,0.66,0.65,1.8,WARNING,161.59,6.73,0.252,0.0426,56.96
A,104,164.23,7.05,0.81,0.65,1.431,WARNING,162.43,6.83,-0.369,0.0429,57.48
A,105,164.56,7.12,0.74,0.64,0.489,WARNING,163.1,6.93,-0.942,0.0433,59.24
A,106,165.18,7.24,0.62,0.64,1.45,WARNING,163.83,7.04,0.961,0.0438,59.46
A,107,166.6,7.3,0.81,0.63,1.529,WARNING,164.66,7.13,0.079,0.0438,61.64
A,108,166.94,7.38,0.81,0.63,1.316,WARNING,165.5,7.22,-0.213,0.0442,61.77
A,109,168.32,7.44,0.73,0.62,1.336,WARNING,166.32,7.3,0.02,0.0442,63.96
A,110,169.77,7.57,0.61,0.62,1.201,WARNING,167.36,7.39,-0.135,0.0446,64.51
A,111,171.25,7.66,0.67,0.61,0.943,WARNING,168.58,7.47,-0.258,0.0447,66.79
A,112,172.06,7.79,0.61,0.61,1.533,WARNING,169.67,7.57,0.59,0.0453,67.1
A,113,173.31,7.92,0.68,0.6,1.361,WARNING,170.94,7.68,-0.172,0.0457,69.32
A,114,175.06,8.0,0.71,0.59,1.512,WARNING,172.29,7.79,0.151,0.0457,71.77
A,115,176.02,8.12,0.78,0.59,0.703,WARNING,173.54,7.9,-0.809,0.0461,72.17
A,116,176.45,8.26,0.69,0.58,0.666,WARNING,174.58,8.02,-0.037,0.0468,74.11
A,117,177.31,8.31,0.62,0.57,1.576,WARNING,175.63,8.12,0.91,0.0469,76.24
A,118,178.81,8.4,0.75,0.57,1.62,WARNING,176.73,8.22,0.044,0.047,76.89
A,119,179.13,8.54,0.75,0.56,0.428,WARNING,177.54,8.33,-1.192,0.0477,78.82
A,120,180.56,8.66,0.7,0.56,1.269,WARNING,178.45,8.43,0.841,0.048,79.45
A,121,181.0,8.74,0.65,0.55,1.338,WARNING,179.36,8.53,0.069,0.0483,81.45
A,122,182.01,8.84,0.76,0.55,0.938,WARNING,180.3,8.64,-0.4,0.0486,81.9
A,123,183.37,8.92,0.61,0.54,0.677,WARNING,181.21,8.74,-0.261,0.0486,84.35
A,124,183.85,9.02,0.62,0.54,1.443,WARNING,182.16,8.84,0.766,0.0491,84.57
A,125,184.87,9.14,0.71,0.53,1.765,WARNING,183.02,8.93,0.322,0.0494,86.89
A,126,185.32,9.21,0.62,0.53,0.641,WARNING,183.88,9.03,-1.124,0.0497,87.1
A,127,186.42,9.29,0.71,0.53,1.761,WARNING,184.77,9.12,1.12,0.0498,87.62
A,128,186.91,9.42,0.79,0.52,1.036,WARNING,185.47,9.22,-0.725,0.0504,89.72
A,129,187.92,9.52,0.59,0.51,0.577,WARNING,186.29,9.32,-0.459,0.0507,92.08
A,130,188.93,9.65,0.6,0.51,0.901,WARNING,187.1,9.42,0.324,0.0511,92.58
A,131,189.31,9.72,0.65,0.5,1.144,WARNING,187.9,9.52,0.243,0.0513,94.66
A,132,189.79,9.84,0.77,0.5,1.209,WARNING,188.57,9.63,0.065,0.0518,94.9
A,133,190.88,9.94,0.79,0.5,0.964,WARNING,189.37,9.73,-0.245,0.0521,95.44
A,134,191.63,10.05,0.76,0.5,1.214,WARNING,190.11,9.84,0.25,0.0524,95.82
A,135,192.25,10.12,0.62,0.5,1.291,WARNING,190.77,9.93,0.077,0.0526,96.12
A,136,192.66,10.17,0.72,0.5,0.976,WARNING,191.44,10.02,-0.315,0.0528,96.33
A,137,193.31,10.29,0.69,0.5,1.354,WARNING,192.15,10.11,0.378,0.0532,96.66
A,138,194.99,10.42,0.74,0.5,1.238,WARNING,192.97,10.21,-0.116,0.0534,97.5
A,139,195.93,10.53,0.8,0.5,1.271,WARNING,193.83,10.31,0.033,0.0537,97.96
A,140,167.81,7.43,0.95,0.44,3.73,CRITICAL,188.94,9.77,2.459,0.0443,93.97
A,141,172.58,7.74,0.94,0.44,5.255,CRITICAL,184.92,9.28,1.525,0.0448,96.64
A,142,178.85,8.14,0.81,0.43,2.822,CRITICAL,182.03,8.85,-2.433,0.0455,101.94
A,143,183.08,8.47,0.99,0.42,2.865,CRITICAL,179.65,8.46,0.043,0.0463,106.19
A,144,188.93,8.9,0.93,0.41,6.498,CRITICAL,178.25,8.14,3.633,0.0471,111.47
A,145,192.5,9.12,0.93,0.39,4.382,CRITICAL,183.19,8.47,-2.116,0.0474,117.42
A,146,198.67,9.39,0.9,0.38,5.039,CRITICAL,188.41,8.8,0.657,0.0473,123.18
A,147,201.53,9.73,0.97,0.37,5.181,CRITICAL,192.94,9.12,0.142,0.0483,126.96
A,148,205.35,10.21,0.96,0.37,6.281,CRITICAL,197.4,9.47,1.1,0.0497,129.37
A,149,210.05,10.59,0.99,0.36,3.793,CRITICAL,201.62,9.81,-2.488,0.0504,134.43
A,150,214.17,11.0,0.91,0.34,5.131,CRITICAL,205.95,10.18,1.338,0.0514,141.35
A,151,218.32,11.27,0.93,0.33,5.526,CRITICAL,209.88,10.56,0.395,0.0516,146.27
A,152,223.86,11.55,0.89,0.32,6.211,CRITICAL,214.35,10.92,0.685,0.0516,152.22
A,153,229.16,11.8,0.85,0.31,4.935,CRITICAL,219.11,11.24,-1.276,0.0515,158.12
A,154,232.29,12.22,1.0,0.3,2.873,CRITICAL,223.56,11.57,-2.062,0.0526,162.6
A,155,238.44,12.61,0.9,0.29,5.829,CRITICAL,228.41,11.89,2.956,0.0529,169.29
A,156,243.81,13.01,1.0,0.28,5.839,CRITICAL,233.51,12.24,0.01,0.0534,175.54
A,157,247.28,13.43,0.9,0.28,6.187,CRITICAL,238.2,12.61,0.348,0.0543,178.04
A,158,253.3,13.98,0.88,0.27,5.66,CRITICAL,243.02,13.05,-0.527,0.0552,184.91
A,159,259.54,14.38,0.86,0.25,3.631,CRITICAL,248.47,13.48,-2.029,0.0554,194.66
A,160,264.38,14.98,0.91,0.24,3.094,CRITICAL,253.66,13.96,-0.537,0.0567,200.93
A,161,268.26,15.4,0.86,0.23,4.321,CRITICAL,258.55,14.43,1.227,0.0574,206.56
A,162,271.52,15.88,0.96,0.22,3.434,CRITICAL,263.4,14.92,-0.887,0.0585,211.79
A,163,274.19,16.38,0.88,0.21,5.746,CRITICAL,267.58,15.4,2.312,0.0597,216.61
A,164,279.35,16.9,0.81,0.2,4.481,CRITICAL,271.54,15.91,-1.265,0.0605,223.48
A,165,283.86,17.34,0.89,0.18,5.997,CRITICAL,275.44,16.38,1.516,0.0611,232.77
A,166,288.46,17.72,0.93,0.17,4.14,CRITICAL,279.48,16.84,-1.857,0.0614,239.42
A,167,291.58,18.11,0.94,0.16,3.854,CRITICAL,283.49,17.29,-0.286,0.0621,244.93
A,168,296.68,18.65,0.88,0.14,5.937,CRITICAL,287.99,17.74,2.083,0.0629,255.14
A,169,300.45,19.14,0.81,0.13,5.99,CRITICAL,292.21,18.19,0.053,0.0637,261.39
A,170,303.22,19.59,0.95,0.12,6.49,CRITICAL,296.08,18.64,0.5,0.0646,266.83
A,171,307.45,19.83,0.89,0.1,5.99,CRITICAL,299.88,19.06,-0.5,0.0645,276.7
A,172,312.73,20.39,0.86,0.1,5.685,CRITICAL,304.11,19.52,-0.305,0.0652,281.46
A,173,316.73,20.65,0.96,0.1,4.764,CRITICAL,308.12,19.92,-0.921,0.0652,285.06
A,174,319.91,20.88,0.85,0.1,4.979,CRITICAL,312.01,20.27,0.215,0.0653,287.92
A,175,326.06,21.14,0.85,0.1,3.516,CRITICAL,316.58,20.58,-1.463,0.0648,293.45
A,176,328.6,21.66,0.83,0.1,5.21,CRITICAL,320.81,20.94,1.694,0.0659,295.74
A,177,332.87,22.0,0.88,0.1,5.056,CRITICAL,324.83,21.27,-0.154,0.0661,299.58
A,178,336.37,22.54,0.9,0.1,4.039,CRITICAL,328.76,21.64,-1.017,0.067,302.73
A,179,339.81,22.97,0.86,0.1,6.471,CRITICAL,332.74,22.06,2.432,0.0676,305.83
A,180,346.23,23.43,0.94,0.1,4.764,CRITICAL,336.78,22.52,-1.707,0.0677,311.61
A,181,351.71,23.65,0.98,0.1,4.487,CRITICAL,341.4,22.92,-0.277,0.0672,316.54
A,182,355.35,24.17,0.93,0.1,3.909,CRITICAL,345.89,23.35,-0.578,0.068,319.82
A,183,360.33,24.64,0.97,0.1,5.137,CRITICAL,350.69,23.77,1.228,0.0684,324.3
A,184,365.35,25.2,0.89,0.1,3.736,CRITICAL,355.79,24.22,-1.401,0.069,328.82
A,185,370.17,25.69,0.95,0.1,3.68,CRITICAL,360.58,24.67,-0.056,0.0694,333.15
A,186,373.37,25.95,0.91,0.1,6.386,CRITICAL,364.91,25.13,2.706,0.0695,336.03
A,187,379.52,26.48,0.9,0.1,5.799,CRITICAL,369.75,25.59,-0.587,0.0698,341.57
A,188,385.25,26.98,0.99,0.1,2.961,CRITICAL,374.73,26.06,-2.838,0.07,346.72
A,189,388.31,27.56,1.0,0.1,5.397,CRITICAL,379.32,26.53,2.436,0.071,349.48
A,190,394.68,28.09,0.8,0.1,5.663,CRITICAL,384.23,27.01,0.266,0.0712,355.21
A,191,399.33,28.47,0.92,0.1,5.189,CRITICAL,389.42,27.52,-0.474,0.0713,359.4
A,192,405.12,29.04,0.81,0.1,3.435,CRITICAL,394.54,28.03,-1.754,0.0717,364.61
A,193,411.15,29.47,0.81,0.1,3.385,CRITICAL,399.72,28.53,-0.05,0.0717,370.04
A,194,416.95,30.03,0.83,0.1,4.133,CRITICAL,405.45,29.02,0.748,0.072,375.26
A,195,423.23,30.35,0.98,0.1,2.889,CRITICAL,411.16,29.47,-1.244,0.0717,380.91
A,196,426.28,30.74,0.99,0.1,5.473,CRITICAL,416.55,29.93,2.584,0.0721,383.65
A,197,430.45,31.23,0.82,0.1,4.16,CRITICAL,421.61,30.36,-1.313,0.0726,387.4
A,198,434.91,31.6,0.87,0.1,2.631,CRITICAL,426.36,30.79,-1.529,0.0727,391.42
A,199,439.18,32.18,0.94,0.1,2.897,CRITICAL,430.81,31.22,0.266,0.0733,395.26
B,0,118.03,4.17,0.43,0.84,0.209,SAFE,118.03,4.17,0.0,0.0353,18.88
B,1,117.98,4.19,0.53,0.91,-0.287,SAFE,118.0,4.18,-0.496,0.0355,10.62
B,2,118.27,4.16,0.41,0.9,-0.259,SAFE,118.09,4.17,0.028,0.0352,11.83
B,3,118.53,4.14,0.43,0.95,-0.103,SAFE,118.2,4.16,0.156,0.0349,5.93
B,4,118.18,4.18,0.38,0.95,-0.213,SAFE,118.2,4.17,-0.11,0.0354,5.91
B,5,117.81,4.15,0.42,0.92,-0.285,SAFE,118.15,4.16,-0.072,0.0352,9.42
B,6,117.32,4.18,0.44,0.87,-0.195,SAFE,118.02,4.16,0.09,0.0356,15.25
B,7,116.88,4.2,0.51,0.93,-0.014,SAFE,117.74,4.17,0.181,0.0359,8.18
B,8,117.16,4.21,0.41,0.9,0.267,SAFE,117.47,4.18,0.281,0.0359,11.72
B,9,116.7,4.23,0.59,0.9,-0.025,SAFE,117.17,4.19,-0.292,0.0362,11.67
B,10,117.16,4.19,0.49,0.88,0.112,SAFE,117.04,4.2,0.137,0.0358,14.06
B,11,117.15,4.23,0.4,0.83,0.065,SAFE,117.01,4.21,-0.047,0.0361,19.92
B,12,116.72,4.21,0.53,0.9,-0.105,SAFE,116.98,4.21,-0.17,0.0361,11.67
B,13,117.21,4.21,0.49,0.91,-0.24,SAFE,116.99,4.21,-0.135,0.0359,10.55
B,14,117.41,4.25,0.54,0.94,0.133,SAFE,117.13,4.22,0.373,0.0362,7.04
B,15,117.13,4.24,0.43,0.87,-0.028,SAFE,117.12,4.23,-0.161,0.0362,15.23
B,16,117.05,4.2,0.48,0.92,-0.075,SAFE,117.1,4.22,-0.047,0.0359,9.36
B,17,116.7,4.24,0.4,0.94,-0.244,SAFE,117.1,4.23,-0.169,0.0363,7.0
B,18,116.3,4.27,0.57,0.9,0.052,SAFE,116.92,4.24,0.296,0.0367,11.63
B,19,116.36,4.25,0.41,0.87,0.099,SAFE,116.71,4.24,0.047,0.0365,15.13
B,20,116.61,4.29,0.55,0.97,0.06,SAFE,116.6,4.25,-0.039,0.0368,3.5
B,21,116.46,4.29,0.43,0.92,-0.165,SAFE,116.49,4.27,-0.225,0.0368,9.32
B,22,116.07,4.33,0.47,0.93,0.044,SAFE,116.36,4.29,0.209,0.0373,8.12
B,23,116.37,4.36,0.61,0.94,0.068,SAFE,116.37,4.3,0.024,0.0375,6.98
B,24,116.52,4.32,0.6,0.94,-0.14,SAFE,116.41,4.32,-0.208,0.0371,6.99
B,25,116.2,4.34,0.45,0.87,-0.296,SAFE,116.32,4.33,-0.156,0.0373,15.11
B,26,116.57,4.34,0.48,0.84,0.08,SAFE,116.35,4.34,0.376,0.0372,18.65
B,27,116.1,4.37,0.43,0.88,-0.095,SAFE,116.35,4.35,-0.175,0.0376,13.93
B,28,115.97,4.39,0.57,0.91,-0.249,SAFE,116.27,4.35,-0.154,0.0379,10.44
B,29,115.52,4.36,0.53,0.92,-0.137,SAFE,116.07,4.36,0.112,0.0377,9.24
B,30,115.68,4.35,0.49,0.86,0.153,SAFE,115.97,4.36,0.29,0.0376,16.2
B,31,115.3,4.35,0.45,0.92,-0.008,SAFE,115.71,4.36,-0.161,0.0377,9.22
B,32,115.46,4.3,0.47,0.91,-0.295,SAFE,115.59,4.35,-0.287,0.0372,10.39
B,33,115.26,4.27,0.41,0.86,-0.103,SAFE,115.44,4.33,0.192,0.037,16.14
B,34,114.77,4.3,0.42,0.88,0.122,SAFE,115.29,4.31,0.225,0.0375,13.77
B,35,114.77,4.33,0.57,0.83,0.217,SAFE,115.11,4.31,0.095,0.0377,19.51
B,36,114.31,4.28,0.6,0.95,0.045,SAFE,114.91,4.3,-0.172,0.0374,5.72
B,37,114.39,4.3,0.48,0.84,-0.287,SAFE,114.7,4.3,-0.332,0.0376,18.3
B,38,114.21,4.33,0.53,0.94,0.252,SAFE,114.49,4.31,0.539,0.0379,6.85
B,39,113.8,4.37,0.44,0.91,0.014,SAFE,114.3,4.32,-0.238,0.0384,10.24
B,40,113.7,4.35,0.46,0.87,-0.199,SAFE,114.08,4.33,-0.213,0.0383,14.78
B,41,113.71,4.31,0.5,0.96,-0.09,SAFE,113.96,4.33,0.109,0.0379,4.55
B,42,113.93,4.34,0.58,0.86,-0.212,SAFE,113.87,4.34,-0.122,0.0381,15.95
B,43,113.63,4.35,0.56,0.92,-0.194,SAFE,113.75,4.34,0.018,0.0383,9.09
B,44,113.91,4.35,0.56,0.93,-0.031,SAFE,113.78,4.34,0.163,0.0382,7.97
B,45,114.33,4.36,0.53,0.91,0.219,SAFE,113.9,4.34,0.25,0.0381,10.29
B,46,114.46,4.32,0.4,0.89,-0.118,SAFE,114.05,4.34,-0.337,0.0377,12.59
B,47,114.23,4.28,0.5,0.87,-0.029,SAFE,114.11,4.33,0.089,0.0375,14.85
B,48,113.79,4.31,0.4,0.95,0.213,SAFE,114.14,4.32,0.242,0.0379,5.69
B,49,113.9,4.31,0.49,0.9,0.175,SAFE,114.14,4.32,-0.038,0.0378,11.39
B,50,114.3,4.31,0.57,0.92,-0.107,SAFE,114.14,4.31,-0.282,0.0377,9.14
B,51,114.27,4.27,0.39,0.84,0.239,SAFE,114.1,4.3,0.346,0.0374,18.28
B,52,114.12,4.3,0.5,0.85,-0.151,SAFE,114.08,4.3,-0.39,0.0377,17.12
B,53,114.06,4.29,0.51,0.84,-0.076,SAFE,114.13,4.3,0.075,0.0376,18.25
B,54,113.84,4.28,0.46,0.91,0.174,SAFE,114.12,4.29,0.25,0.0376,10.25
B,55,113.99,4.24,0.4,0.92,-0.13,SAFE,114.06,4.28,-0.304,0.0372,9.12
B,56,114.21,4.25,0.6,0.95,-0.1,SAFE,114.04,4.27,0.03,0.0372,5.71
B,57,114.29,4.22,0.46,0.97,0.119,SAFE,114.08,4.26,0.219,0.0369,3.43
B,58,114.18,4.23,0.61,0.87,-0.074,SAFE,114.1,4.24,-0.193,0.037,14.84
B,59,114.48,4.26,0.54,0.94,0.143,SAFE,114.23,4.24,0.217,0.0372,6.87
B,60,114.66,4.26,0.54,0.88,-0.083,SAFE,114.36,4.24,-0.226,0.0372,13.76
B,61,114.52,4.23,0.43,0.96,-0.008,SAFE,114.43,4.24,0.075,0.0369,4.58
B,62,114.25,4.19,0.4,0.95,-0.239,SAFE,114.42,4.23,-0.231,0.0367,5.71
B,63,114.52,4.23,0.59,0.83,-0.098,SAFE,114.49,4.23,0.141,0.0369,19.47
B,64,114.79,4.19,0.47,0.84,0.199,SAFE,114.55,4.22,0.297,0.0365,18.37
B,65,115.06,4.22,0.42,0.89,-0.053,SAFE,114.63,4.21,-0.252,0.0367,12.66
B,66,115.24,4.19,0.49,0.86,0.149,SAFE,114.77,4.2,0.202,0.0364,16.13
B,67,115.18,4.2,0.45,0.94,-0.019,SAFE,114.96,4.21,-0.168,0.0365,6.91
B,68,115.52,4.18,0.61,0.97,-0.023,SAFE,115.16,4.2,-0.004,0.0362,3.47
